user,created_at,location,coordinates,tweet_text
d_nho,2016-06-02 0:31,,,"question\xc3\xa1rio lindo de bioestat\xc3\xadstica pra fazer em grupo e ""eu te pago pra fazer minha parte""... ""tou doente, acho que \xc3\xa9 zika, morrendo""..."
,,,,
glezordonez,2016-06-02 0:31,,,RT @el_pais: \xc2\xbfRealmente hay motivos para suspender los Juegos Ol\xc3\xadmpicos de R\xc3\xado por el zika? Los expertos sopesan las dos opciones https://t\xe2\x80\xa6
,,,,
Ronaldo_Pico,2016-06-02 0:31,"Paris, Francia",,"RT @ElMakiaDice: PRIMER PERIODO:\n\xe2\x80\x94Resu\xc3\xa9lvanme esta sopita de letras.\n\xe2\x80\x94Bueno profe.\n\nRESTO DEL A\xc3\x91O:\n\xe2\x80\x94Me encuentran la cura del Zika, y busqu\xe2\x80\xa6"
,,,,
GlobalBioethics,2016-06-02 0:31,"New York, New York",,Letter to WHO to Postpone/Move Olympic Games Rejected https://t.co/GUiYXDJGMa
,,,,
423torre,2016-06-02 0:31,"Chattanooga, TN",,"My neighbor to the kids she was taking a picture of, ""everybody say Zika virus"". #saycheese #sayzikavirus #saywtf"
,,,,
notiven,2016-06-02 0:31,venezuela,,RT: @nytimes :A girl with the Zika virus was born at a New Jersey hospital https://t.co/4bNozHv3Op
,,,,
nataliaderehe,2016-06-02 0:31,"Misiones, Argentina",,"RT @OberaInside: 10 de junio: Taller de Formaci\xc3\xb3n Docentes: Dengue, Chikungunya y Zika \xc2\xbfqu\xc3\xa9 son y qu\xc3\xa9\xe2\x80\xa6 https://t.co/ECpU5V59P9 https://t.co\xe2\x80\xa6"
,,,,
kingcharlier247,2016-06-02 0:31,"clarksville,tn 37042",,Sign the petition: Tell @SpeakerRyan to stop playing politics with #Zika https://t.co/6skNSxWQFw via @CREDOMobile #p2
,,,,
inewsua,2016-06-02 0:31,,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
andrewssoyes,2016-06-02 0:31,Fortaleza-Ceara-Brasil,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
mevers90,2016-06-02 0:31,"Chicago, IL",,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
